author,date,source,summary,title,url
LAURA M. HOLSON,26/09/2017,the-new-york-times,"In the Willamette Valley of Oregon, longtime residents clash with the new cannabis farmer next door.",Pot Farmer to Neighbors: Chill Out. Neighbors: No.,https://www.nytimes.com/2017/09/26/style/oregon-weed-farmers.html
MICHAEL S. SCHMIDT,26/09/2017,the-new-york-times,"Chuck Rosenberg, the acting head of the Drug Enforcement Administration, will resign at the end of the week, according to law enforcement officials.","Head of Drug Enforcement Administration to Leave, Alluding to Dismay Over Trump",https://www.nytimes.com/2017/09/26/us/politics/chuck-rosenberg-dea-resigns.html
THE EDITORIAL BOARD,26/09/2017,the-new-york-times,"Its yearnings are understandable, but in such an unstable region, breaking away from Iraq would lead to further violence.",Editorial: Kurdistan’s Dangerous Vote on Independence,https://www.nytimes.com/2017/09/26/opinion/kurdistans-dangerous-vote-on-independence.html
LISA M. COLLINS,26/09/2017,the-new-york-times,"Janam Tea, housed in Garfunkel’s, a speakeasy-style cocktail lounge on the Lower East Side of Manhattan, offers afternoon tea service, including scones and cucumber sandwiches, for $35.",Neighborhood Joint: High Tea on the Lower East Side,https://www.nytimes.com/2017/09/26/nyregion/janam-high-tea-at-a-lower-east-side-speakeasy.html
MIKE ISAAC,26/09/2017,the-new-york-times,"Twitter is trying out a version of its service that extends the allotted text limit of a post to 280 characters, double the current amount.",Twitter to Test Doubling Tweet Length to 280 Characters,https://www.nytimes.com/2017/09/26/technology/twitter-280-characters.html
ROSALIE R. RADOMSKY,26/09/2017,the-new-york-times,"A Queen Anne-style townhouse on East 82nd Street, which sold for $10.7 million, is among the recent transactions in New York City.",Recent Commercial Real Estate Transactions,https://www.nytimes.com/2017/09/26/realestate/commercial/recent-transactions.html
JONAH ENGEL BROMWICH,26/09/2017,the-new-york-times,"People using their cellphones on a street in in San Juan, P.R., during a blackout on Monday as the area struggled to recover from Hurricane Maria.",Puerto Ricans on Mainland Rely on Strangers to Reach Relatives,https://www.nytimes.com/2017/09/26/us/puerto-rico-facebook-hurricane.html
DAMIEN CAVE,27/09/2017,the-new-york-times,"This week’s newsletter, highlighting journalism from around the web that the Australia bureau just really loves.",Letter 27: Heaps of Stuff We Like,https://www.nytimes.com/2017/09/27/world/australia/letter27-heaps-of-stuff-we-like.html
BEN CASSELMAN,27/09/2017,the-new-york-times,"Younger, less-educated and lower-income workers have experienced relatively strong gains in income in recent years, but remain far short of their prerecession level in both income and wealth.","Wealth Grew Broadly Over 3 Years, but Inequality Widened",https://www.nytimes.com/2017/09/27/business/economy/wealth-inequality-study.html
MANAL AL-SHARIF,27/09/2017,the-new-york-times,"The last time I was arrested. Next time, I will be on the road to equality with my fellow Saudi women.",Op-Ed Contributor: I Can’t Wait to Drive in Saudi Arabia Again,https://www.nytimes.com/2017/09/27/opinion/saudi-arabia-women-driving-.html
Eric Schmitt,27/09/2017,the-new-york-times,Supported by Politics Navy Returns to Compasses and Pencils to Help Avoid Collisions at Sea WASHINGTON — Urgent new orders went out earlier this month for United States Navy warships that have been plagued by deadly mishaps this year. More sleep and no more 1…,"Navy Returns to Compasses, Pencils to Help Avoid Collisions...",https://www.nytimes.com/2017/09/27/us/politics/navy-orders-safety-operational-standards.html
JERÉ LONGMAN,27/09/2017,the-new-york-times,"When athletes from the world’s most isolated nation participate in global competitions, casual meetings can reveal more similarities than differences.",North Korea’s Athletic Ambassadors,https://www.nytimes.com/2017/09/27/insider/north-koreas-athletic-ambassadors.html
Nick Wingfield,27/09/2017,the-new-york-times,"New York Times Amazon Wants You to Wake Up With Alexa, and That's Just the Start New York Times David Limp, Amazon's senior vice president for devices and services, introduced the new Echo products at the Amazon offices in Seattle. Credit Ruth Fremson/The New…","Amazon Wants You to Wake Up With Alexa, and That's Just the Start - New York Times",https://www.nytimes.com/2017/09/27/technology/amazon-echo-alexa.html
JOHN WILLIAMS,27/09/2017,the-new-york-times,“199 Cemeteries to See Before You Die” is a guide to checking out the hereafter before you check out.,Open Book: A Guide to Graveside Tourism,https://www.nytimes.com/2017/09/27/books/review/199-cemeteries-to-see-before-you-die.html
THE ASSOCIATED PRESS,27/09/2017,the-new-york-times,"Drug gangs have been known to use rehab centers to recruit addicts, and rival gangs sometimes assault the centers.",15 Killed in Attack on Drug Rehabilitation Center in Mexico,https://www.nytimes.com/2017/09/27/world/americas/drug-rehab-attack-mexico.html
MIKE ISAAC and MELISSA EDDY,27/09/2017,the-new-york-times,A campaign billboard in Berlin for Chancellor Angela Merkel earlier this month. Facebook said Wednesday that “the level of false news was low” on its site for the German elections.,Facebook Responds to Trump and Positions Itself as Election-Ready,https://www.nytimes.com/2017/09/27/technology/facebook-trump-election-germany.html
The New York Times,27/09/2017,the-new-york-times,"In a village fifteen minutes from the capital of Puerto Rico, residents sit amid the rubble that was once their homes.",In a Puerto Rican Village: ‘The Wind Came and Took Everything’,https://www.nytimes.com/video/world/americas/100000005462811/puerto-rican-village-hurricane.html
Charlie Savage,27/09/2017,the-new-york-times,New York Times EPA Threatens to Stop Funding Justice Dept. Environmental Work New York Times Scott Pruitt frequently sued the Environmental Protection Agency before President Trump placed him in charge of it. Credit Tom Brenner/The New York Times. WASHINGTON …,EPA Threatens to Stop Funding Justice Dept. Environmental Work - New York Times,https://www.nytimes.com/2017/09/27/us/politics/scott-pruitt-epa-justice-department-funding.html
BINYAMIN APPELBAUM,27/09/2017,the-new-york-times,"The Trump administration’s tax plan provides large benefits for the wealthy, modest benefits for the middle class — and no direct benefit to the poor.","New Analysis: Trump Tax Plan Benefits Wealthy, Including Trump",https://www.nytimes.com/2017/09/27/us/politics/trump-tax-plan-wealthy-middle-class-poor.html
KAREN ZRAICK and HEATHER CASEY,27/09/2017,the-new-york-times,Here’s what you need to know at the end of the day.,"Tax Plan, Roy Moore, Puerto Rico: Your Wednesday Evening Briefing",https://www.nytimes.com/2017/09/27/briefing/tax-plan-roy-moore-puerto-rico.html
CLIFFORD KRAUSS and VINOD SREEHARSHA,27/09/2017,the-new-york-times,"A shipyard near Rio de Janeiro that serves tankers from Petrobras, the Brazilian state oil company. Petrobras joined with Exxon Mobil to bid on deepwater drilling parcels on Wednesday.",Brazil Offshore Oil Drilling Rights Draw Interest at Auction,https://www.nytimes.com/2017/09/27/business/energy-environment/brazil-oil-auction.html
LIZZ SCHUMER,27/09/2017,the-new-york-times,"Moving with a partner — either for the first or the 10th time — has unique challenges. Here’s how to do it right, without risking your relationship.",How to Move as a Couple Without Driving Each Other Crazy,https://www.nytimes.com/2017/09/27/smarter-living/how-to-move-couples.html
NEIL IRWIN,27/09/2017,the-new-york-times,Waiting in line to mail tax returns before the April 15 deadline at the James A. Farley post office in Manhattan.,Pass-Through Plan: The Republican Tax Plan’s Magic Asterisk,https://www.nytimes.com/2017/09/27/upshot/the-republican-tax-plans-magic-asterisk.html
